CÓDIGO CNAE;NÍVEL AGREGAÇÃO;DESCRIÇÃO CNAE;CÓDIGO DN COPAM;DESCRIÇÃO DO CÓDIGO;EXIGÊNCIA AMBIENTAL;NÍVEL DE RISCO
1359-6/00;Atividade;"Sacos De Dormir; Fabricação De";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Sacos De Fibras Têxteis Naturais Para Embalagem; Confecção De (Quando Não Integrada A Tecelagem)";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Sacos De Fios De Ráfia, Polipropileno E Outros Materias Plásticas Têxteis; Confecção De (Quando Não Integrada A Tecelagem)";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Sacos De Juta Para Embalagem; Confecção De (Quando Não Integrada A Tecelagem)";Não Listada;-;Não se aplica;I
1359-6/00;Atividade;"Sortidos De Cortes De Tecidos Ou Fios Para Confeccionar Qualquer Artefato; Fabricação De";Não Listada;-;Não se aplica;I
1411-8/01;Subclasse;Confecção de roupas íntimas;Não Listada;-;Não se aplica;I
1411-8/02;Subclasse;Facção de roupas íntimas;Não Listada;-;Não se aplica;I
1412-6/01;Subclasse;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;Não Listada;-;Não se aplica;I
1412-6/02;Subclasse;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;Não Listada;-;Não se aplica;I
1412-6/03;Subclasse;Facção de peças do vestuário, exceto roupas íntimas;Não Listada;-;Não se aplica;I
1413-4/01;Subclasse;Confecção de roupas profissionais, exceto sob medida;Não Listada;-;Não se aplica;I
1413-4/02;Subclasse;Confecção, sob medida, de roupas profissionais;Não Listada;-;Não se aplica;I
1413-4/03;Subclasse;Facção de roupas profissionais;Não Listada;-;Não se aplica;I
1414-2/00;Subclasse;Fabricação de acessórios do vestuário, exceto para segurança e proteção;Não Listada;-;Não se aplica;I
1421-5/00;Subclasse;Fabricação de meias;Não Listada;-;Não se aplica;I
1422-3/00;Subclasse;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;Não Listada;-;Não se aplica;I
1521-1/00;Subclasse;Fabricação  de  artigos  para  viagem, bolsas   e   semelhantes   de   qualquer material;Não Listada;-;Não se aplica;I
1529-7/00;Subclasse;"Fabricação de artefatos de couro não
especificados anteriormente";Não Listada;-;Não se aplica;I
1531-9/02 ;Subclasse;Acabamento de calçados de couro sob contrato;Não Listada;-;Não se aplica;I
1532-7/00;Subclasse;Fabricação de tênis de qualquer material;Não Listada;-;Não se aplica;I
1539-4/00;Subclasse;Fabricação de calçados de materiais não especificados anteriormente;Não Listada;-;Não se aplica;I
1540-8/00;Subclasse;Fabricação de partes para calçados, de qualquer material;Não Listada;-;Não se aplica;I
1622-6/02;Subclasse;Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;Não Listada;-;Não se aplica;I
1622-6/99;Subclasse;Fabricação de outros artigos de carpintaria para construção;Não Listada;-;Não se aplica;I
1623-4/00;Subclasse;Fabricação de artefatos de tanoaria e de embalagens de madeira;Não Listada;-;Não se aplica;I
1731-1/00;Subclasse;Fabricação de embalagens de papel;Não Listada;-;Não se aplica;I
1732-0/00;Subclasse;Fabricação de embalagens de cartolina e papel-cartão;Não Listada;-;Não se aplica;I
1733-8/00;Subclasse;Fabricação de chapas e de embalagens de papelão ondulado;Não Listada;-;Não se aplica;I
1749-4/00;Atividade;"Artefatos De Papel, Papelão Ondulado, Cartolina Ou Papel-Cartão De Acabamento Especial Para Revestimento; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/01;Atividade;"Artefatos De Papelão Ondulado, Cartolina Ou Papel-Cartão, N.E.; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/02;Atividade;"Artesanato Em Pastas Celulósicas, Papel, Papel-Cartão Ou Papelão; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/03;Atividade;"Bandeirolas De Papel; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/04;Atividade;Bandejas, Travessas, Pratos, Copos E Artigos Semelhantes De Papel Ou Papel-Cartão.;Não Listada;-;Não se aplica;I
1749-4/05;Atividade;"Blocos E Chapas Filtrantes, De Pasta De Papel; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/06;Atividade;"Canudos De Papel Para Refresco; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/07;Atividade;"Carretéis, Bobinas E Suportes Semelhantes De Papel, Papel-Cartão E Pasta De Papel; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/08;Atividade;"Confetes, Serpentinas E Semelhantes; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/09;Atividade;"Copos De Papel Ou De Papel-Cartão; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/10;Atividade;"Corte E Dobra De Papel(Bobina) Não Associado A Grafica Ou A Impressão; Serviço De";Não Listada;-;Não se aplica;I
1749-4/11;Atividade;Embalagens Diversas De Pastas De Celulose, Fabricação De;Não Listada;-;Não se aplica;I
1749-4/12;Atividade;"Flâmulas E Bandeirolas De Papel; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/13;Atividade;"Papel Estampado Ou Fantasia; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/14;Atividade;"Papel Impregnado Ou Revestido; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/15;Atividade;"Papel Para Cigarros, Cortado Em Dimensões Próprias, Em Folhas, Tubos Ou Rolos; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/16;Atividade;"Peças Ou Acessórios Para Máquinas Ou Equipamentos De Transporte De Papel, Papelão Ondulado, Cartolina Ou Papel-Cartão; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/17;Atividade;"Polpa De Madeira Ou De Pasta Mecânica Moldada Em Artigos Diversos; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/18;Atividade;Revestimentos De Matérias Têxteis Para Paredes, Fabricação De;Não Listada;-;Não se aplica;I
1749-4/19;Atividade;"Revestimentos Para Pavimentos Com Suporte De Papel Ou De Papel-Cartão; Fabricação De";Não Listada;-;Não se aplica;I
1749-4/20;Atividade;"Álbuns De Papel-Cartão Para Fotografias, Amostras Ou Coleções; Fabricação De";Não Listada;-;Não se aplica;I
1812-1/00;Subclasse;Impressão de material de segurança;Não Listada;-;Não se aplica;I
1813-0/01;Atividade; Impressão sob encomenda faixas e cartazes de propaganda;Não Listada;-;Não se aplica;I
1813-0/01;Atividade; Impressão sob encomenda calendários;Não Listada;-;Não se aplica;I
1813-0/01;Atividade; Impressão sob encomenda cartazes de propaganda;Não Listada;-;Não se aplica;I
1813-0/01;Atividade; Impressão sob encomenda de catálogos de arte, kits promocionais;Não Listada;-;Não se aplica;I
1813-0/01;Atividade; Impressão sob encomenda catálogos, cartazes, folhetos, encartes e outros impressos para fins promocionais;Não Listada;-;Não se aplica;I
1813-0/01;Atividade; Impressão sob encomenda gráfica: cartazes, prospectos, calendários, encartes e outros impressos de publicidade;Não Listada;-;Não se aplica;I
1813-0/01;Atividade; Impressão sob encomenda outdoors, malas-diretas, banners;Não Listada;-;Não se aplica;I
1813-0/01;Atividade; Impressão sob encomenda prospectos e volantes;Não Listada;-;Não se aplica;I
1813-0/01;Atividade;Serviços de tampografia para uso publicitário;Não Listada;-;Não se aplica;I
1813-0/01;Atividade;Serviços de serigrafia em material publicitário;Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"cardápios, diplomas, convites e semelhantes; impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"cartões de felicitacões; cartões de visita; impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"contas telefônicas, extratos bancários e outros impressos de dados variáveis transacionais, integrados ou não à promoção (transpromo); fabricação de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"couro; impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"dados variáveis impressos sob encomenda, exceto transacionais; fabricação de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"decalcomania; impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"diário de classe; impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"etiquetas e rótulos impressos em suporte de plástico ou de outro material, exceto papel; fabricação de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"gráfica, cardápios, diplomas, convites e semelhantes; impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"gráfica: materiais para escritório;impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"gráfica: material escolar; impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"impressos em materiais diversos (plástico, tecido, couro, etc.), exceto papel; fabricação de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"impressos padronizados para uso comercial (formulários em bloco, blocos de encomendas, de recibos, de apontamentos, etc, não fiscais); fabricação de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"impressos para adesivação de veículos (carros, ônibus, trens, etc.) ou outros impressos para sinalização; fabricação de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"impressos para fins publicitários ou promocionais em filmes, lona vinílica, polipropileno, vinil adesivo, etc. (banners, backlit, frontlit, etc.).; fabricação de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"impressos para fins publicitários ou promocionais em papel ou suporte celulósico (catálogos, cartazes, folhetos, encartes, outdoors, mala direta, etc.).; fabricação de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"impressos para uso industrial (capas de cd, dvd ou semelhantes, bulas, manuais de instrução, etc.).; fabricação de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"impressospara uso escolar (exceto cadernos); fabricação de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"materiais diversos (plástico, tecido, couro, etc); impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"material escolar; impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"plástico; impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"recibos; impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;rótulos de qualquer material impressos sob encomenda;Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"rótulos; serviço de impressão de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"serigrafia (silk-screen); impressão sob encomenda";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"sublimação; serviços de";Não Listada;-;Não se aplica;I
1813-0/99;Atividade;"tampografia para outros usos, exceto publicitário; serviços de";Não Listada;-;Não se aplica;I
1821-1/00;Subclasse;Serviços de pré-impressão;Não Listada;-;Não se aplica;I
1822-9/01;Subclasse;Serviços de encadernação e plastificação;Não Listada;-;Não se aplica;I
1822-9/99;Subclasse;Serviços de acabamentos gráficos, exceto encadernação e plastificação;Não Listada;-;Não se aplica;I
1830-0/01;Subclasse;Reprodução de som em qualquer suporte;Não Listada;-;Não se aplica;I
1830-0/02;Subclasse;Reprodução de vídeo em qualquer suporte;Não Listada;-;Não se aplica;I
1830-0/03;Subclasse;Reprodução de software em qualquer suporte;Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Amortecedores, Gaxetas, Retentores, Sapatas, Etc, De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Artefatos De Borracha Para Uso Doméstico, N.E.; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Artefatos De Borracha Para Uso Pelas Indústrias; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Artefatos De Borracha Para Uso Pessoal, N.E.; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Artesanato Em Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Artigos De Borracha Para Higiene E Farmácia, N.E.; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Artigos De Borracha Vulcanizada Para Usos Não Especificados; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Artigos De Elastomeros Vulcanizados; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Artigos Diversos De Borracha Endurecida; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Bicos De Borracha Para Mamadeira; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Blocos, Chapas, Folhas E Tiras De Borracha Vulcanizada Não Endurecida; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Borracha Endurecida (Por Exemplo Ebonite) Em Barras, Perfis, Tubos, Chapas, Massas, Blocos Ou Formas Semelhantes; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Borracha Misturada, Não Vulcanizada, Em Formas Primárias Ou Em Chapas, Folhas Ou Tiras; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Borracha Natural E Sintética; Beneficiamento De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Borracha Para Limpador De Pára-Brisas; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Borracha Regenerada, Em Formas Primárias Ou Em Chapas, Folhas Ou Tiras; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Borracha Vegetal (Lavagem, Centrifugação, Prensagem Em Blocos, Granulação E Outros Beneficiamentos); Serviço De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Botas Ou Galochas De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Buchas, Gaxetas, Polias, Sapatas, Retentores, Etc, De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Canos, Tubos, Mangueiras E Mangotes De Borracha Para Veículos, Máquinas E Aparelhos; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Canos, Tubos, Mangueiras E Mangotes De Borracha Para Água, Ar, Gás, Gasolina, Etc; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Chapas, Laminas, Lençóis Ou Placas De Borracha Natural Ou Sintética, Microporosas Ou Não; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Chupetas De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Colchões Infláveis De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Conexões De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Correias De Borracha Para Veículos; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Correias De Transmissão De Borracha Vulcanizada; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Correias E Esteiras De Borracha Para Máquinas (Planas, Cilíndricas, Trapezoidais E Semelhantes); Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Correias Transportadoras De Borracha Vulcanizada, Reforçadas Com Metal, Plástico Ou Outro Material; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Câmaras-De-Ar Para Bolas Esportivas; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Desentupidores De Borracha Para Pias; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Esponjas De Látex; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Juntas, Gaxetas E Semelhantes De Borracha Vulcanizada Não Endurecida (Para Veículos, Máquinas, Etc.); Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;Látex Vegetal: Centrifugação, Coagulação, Vulcanização E Outros Beneficiamentos De;Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Materiais Para Reparação De Câmaras-De-Ar E Outros Artigos De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Moldes De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Passadeiras De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Perfis De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Peças E Acessórios De Borracha Para A Industria De Material De Transporte; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Peças E Acessórios De Borracha Para A Industria De Material Elétrico E Eletrônico; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Peças E Acessórios De Borracha Para A Industria Mecânica; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Peças E Acessórios De Borracha Para Usos Industriais Diversos; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Peças E Acessórios De Borracha Vulcanizada Não Endurecida Para Máquinas E Aparelhos; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Peças E Acessórios De Borracha Vulcanizada Não Endurecida, Para Veículos; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Pisos De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Preservativos; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Resíduos, Desperdícios E Aparas De Borracha Não Endurecida, Mesmo Reduzidos A Pó Ou A Grânulos; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Revestimentos De Borracha Para Pavimentos; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Revestimentos De Cilindros; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Tapetes (Capachos) De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Tecido Com A Borracha Como Componente Principal (Impregnado, Coberto Ou Laminado); Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Tecidos Com Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Tubos De Borracha; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Tubos, Canos E Mangueiras De Borracha Vulcanizada Não Endurecida, Não Reforçados, Com Ou Sem Acessórios, Inclusive Mangueiras Para Veículos; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Tubos, Canos E Mangueiras De Borracha Vulcanizada Não Endurecida, Reforçados Com Matérias Têxteis, Com Ou Sem Acessórios, Inclusive Mangueiras Para Veículos; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Tubos, Canos E Mangueiras De Borracha Vulcanizada Não Endurecida, Reforçados Com Outras Matérias (Exceto Têxteis), Com Ou Sem Acessórios; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Varetas E Perfis De Borracha Vulcanizada Não Endurecida; Fabricação De";Não Listada;-;Não se aplica;I
2219-6/00;Atividade;"Varetas, Tubos, Discos E Arruelas De Borracha Não Vulcanizada; Fabricação De";Não Listada;-;Não se aplica;I
2330-3/01;Subclasse;Fabricação de estruturas pré moldadas de concreto armado, em série e sob encomenda;Não Listada;-;Não se aplica;I
2330-3/02;Subclasse;Fabricação de artefatos de cimento para uso na construção;Não Listada;-;Não se aplica;I
2330-3/03;Subclasse;Fabricação de artefatos de fibrocimento para uso na construção;Não Listada;-;Não se aplica;I
2330-3/99;Subclasse;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;Não Listada;-;Não se aplica;I
2399-1/01;Subclasse;Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;Não Listada;-;Não se aplica;I
2864-0/00;Subclasse;Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios;Não Listada;-;Não se aplica;I
2399-1/02;Subclasse;Fabricação de abrasivos;Não Listada;-;Não se aplica;I
2539-0/01;Subclasse;Serviços de usinagem, tornearia e solda;Não Listada;-;Não se aplica;I
3092-0/00;Subclasse;Fabricação de bicicletas e triciclos não motorizados, peças e acessórios;Não Listada;-;Não se aplica;I
3102-1/00;Subclasse;Fabricação de móveis com predominância de metal;Não Listada;-;Não se aplica;I
3211-6/01;Subclasse;Lapidação de gemas;Não Listada;-;Não se aplica;I
3211-6/02;Subclasse;Fabricação de artefatos de joalheria e ourivesaria;Não Listada;-;Não se aplica;I
