codigo,descricao,risco_base
0210-1/99,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,NA
0220-9/01,Extração de madeira em florestas nativas,NA
0220-9/02,Produção de carvão vegetal - florestas nativas,NA
0220-9/03,Coleta de castanha-do-pará em florestas nativas,NA
0220-9/04,Coleta de látex em florestas nativas,NA
0220-9/05,Coleta de palmito em florestas nativas,NA
0220-9/06,Conservação de florestas nativas,NA
0220-9/99,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,NA
0230-6/00,Atividades de apoio à produção florestal,NA
0311-6/01,Pesca de peixes em água salgada,NA
0311-6/02,Pesca de crustáceos e moluscos em água salgada,NA
0311-6/03,Coleta de outros produtos marinhos,NA
0311-6/04,Atividades de apoio à pesca em água salgada,NA
0312-4/01,Pesca de peixes em água doce,NA
0312-4/02,Pesca de crustáceos e moluscos em água doce,NA
0312-4/03,Coleta de outros produtos aquáticos de água doce,NA
0312-4/04,Atividades de apoio à pesca em água doce,NA
0321-3/01,Criação de peixes em água salgada e salobra,NA
0321-3/02,Criação de camarões em água salgada e salobra,NA
0321-3/03,Criação de ostras e mexilhões em água salgada e salobra,NA
0321-3/04,Criação de peixes ornamentais em água salgada e salobra,NA
0321-3/05,Atividades de apoio à aquicultura em água salgada e salobra,NA
0321-3/99,Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,NA
0322-1/01,Criação de peixes em água doce,NA
0322-1/02,Criação de camarões em água doce,NA
0322-1/03,Criação de ostras e mexilhões em água doce,NA
0322-1/04,Criação de peixes ornamentais em água doce,NA
0322-1/05,Ranicultura,NA
0322-1/06,Criação de jacaré,NA
0322-1/07,Atividades de apoio à aquicultura em água doce,NA
0322-1/99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,NA
0500-3/01,Extração de carvão mineral,NA
0500-3/02,Beneficiamento de carvão mineral,NA
0600-0/01,Extração de petróleo e gás natural,NA
0600-0/02,Extração e beneficiamento de xisto,NA
0600-0/03,Extração e beneficiamento de areias betuminosas,NA
0710-3/01,Extração de minério de ferro,NA
0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",NA
0721-9/01,Extração de minério de alumínio,NA
0721-9/02,Beneficiamento de minério de alumínio,NA
0722-7/01,Extração de minério de estanho,NA
0722-7/02,Beneficiamento de minério de estanho,NA
0723-5/01,Extração de minério de manganês,NA
0723-5/02,Beneficiamento de minério de manganês,NA
0724-3/01,Extração de minério de metais preciosos,NA
0724-3/02,Beneficiamento de minério de metais preciosos,NA
0725-1/00,Extração de minerais radioativos,NA
0729-4/01,Extração de minérios de nióbio e titânio,NA
0729-4/02,Extração de minério de tungstênio,NA
0729-4/03,Extração de minério de níquel,NA
0729-4/04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",NA
0729-4/05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",NA
0810-0/01,Extração de ardósia e beneficiamento associado,NA
0810-0/02,Extração de granito e beneficiamento associado,NA
0810-0/03,Extração de mármore e beneficiamento associado,NA
0810-0/04,Extração de calcário e dolomita e beneficiamento associado,NA
0810-0/05,Extração de gesso e caulim,NA
0810-0/06,Extração de areia cascalho ou pedregulho e beneficiamento associado,NA
0810-0/07,Extração de argila e beneficiamento associado,NA
0810-0/08,Extração de saibro e beneficiamento associado,NA
0810-0/09,Extração de basalto e beneficiamento associado,NA
0810-0/10,Beneficiamento de gesso e caulim associado à extração,NA
0810-0/99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,NA
0891-6/00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",NA
0892-4/01,Extração de sal marinho,NA
0892-4/02,Extração de sal-gema,NA
0892-4/03,Refino e outros tratamentos do sal,I
0893-2/00,Extração de gemas (pedras preciosas e semipreciosas),NA
0899-1/01,Extração de grafita,NA
0899-1/02,Extração de quartzo,NA
0899-1/03,Extração de amianto,NA
0899-1/99,Extração de outros minerais não metálicos não especificados anteriormente,NA
0910-6/00,Atividades de apoio à extração de petróleo e gás natural,NA
0990-4/01,Atividades de apoio à extração de minério de ferro,NA
0990-4/02,Atividades de apoio à extração de minerais metálicos não ferrosos,NA
0990-4/03,Atividades de apoio à extração de minerais não metálicos,NA
1011-2/01,Frigorífico - abate de bovinos,NA
1011-2/02,Frigorífico - abate de equinos,NA
1011-2/03,Frigorífico - abate de ovinos e caprinos,NA
1011-2/04,Frigorífico - abate de bufalinos,NA
1011-2/05,"Matadouro - abate de reses sob contrato, exceto abate de suínos",NA
1012-1/01,Abate de aves,NA
1012-1/02,Abate de pequenos animais,NA
1012-1/03,Frigorífico - abate de suínos,NA
1012-1/04,Matadouro - abate de suínos sob contrato,NA
1013-9/01,Fabricação de produtos de carne,NA
1013-9/02,Preparação de subprodutos do abate,NA
1020-1/01,Preservação de peixes crustáceos e moluscos,NA
1020-1/02,Fabricação de conservas de peixes crustáceos e moluscos,NA
1031-7/00,Fabricação de conservas de frutas,P
1032-5/01,Fabricação de conservas de palmito,III
1032-5/99,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",P
1033-3/01,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",NA
1033-3/02,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",P
1041-4/00,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",P
1042-2/00,"Fabricação de óleos vegetais refinados, exceto óleo de milho",P
1043-1/00,Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,P
1051-1/00,Preparação do leite,NA
1052-0/00,Fabricação de laticínios,NA
1053-8/00,Fabricação de sorvetes e outros gelados comestíveis,II
1061-9/01,Beneficiamento de arroz,I
1061-9/02,Fabricação de produtos do arroz,II
1062-7/00,Moagem de trigo e fabricação de derivados,II
1063-5/00,Fabricação de farinha de mandioca e derivados,II
1064-3/00,"Fabricação de farinha de milho e derivados, exceto óleos de milho",P
1065-1/01,Fabricação de amidos e féculas de vegetais,II
1065-1/02,Fabricação de óleo de milho em bruto,II
1065-1/03,Fabricação de óleo de milho refinado,II
1066-0/00,Fabricação de alimentos para animais,NA
1069-4/00,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,II
1071-6/00,Fabricação de açúcar em bruto,II
1072-4/01,Fabricação de açúcar de cana refinado,III
1072-4/02,Fabricação de açúcar de cereais (dextrose) e de beterraba,III
1081-3/01,Beneficiamento de café,II
1081-3/02,Torrefação e moagem de café,II
1082-1/00,Fabricação de produtos à base de café,II
1091-1/01,Fabricação de produtos de panificação industrial,P
1091-1/02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,II
1092-9/00,Fabricação de biscoitos e bolachas,P
1093-7/01,Fabricação de produtos derivados do cacau e de chocolates,P
1093-7/02,Fabricação de frutas cristalizadas balas e semelhantes,P
1094-5/00,Fabricação de massas alimentícias,P
1095-3/00,"Fabricação de especiarias, molhos, temperos e condimentos",P
1096-1/00,Fabricação de alimentos e pratos prontos,P
1099-6/01,Fabricação de vinagres,NA
1099-6/02,Fabricação de pós-alimentícios,III
1099-6/03,Fabricação de fermentos e leveduras,III
1099-6/04,Fabricação de gelo comum,II
1099-6/05,"Fabricação de produtos para infusão (chá, mate, etc.)",P
1099-6/06,Fabricação de adoçantes naturais e artificiais,III
1099-6/07,Fabricação de alimentos dietéticos e complementos alimentares,III
1099-6/99,Fabricação de outros produtos alimentícios não especificados anteriormente,P
1111-9/01,Fabricação de aguardente de cana-de-açúcar,NA
1111-9/02,Fabricação de outras aguardentes e bebidas destiladas,NA
1112-7/00,Fabricação de vinho,NA
1113-5/01,"Fabricação de malte, inclusive malte uísque",NA
1113-5/02,Fabricação de cervejas e chopes,NA
1121-6/00,Fabricação de águas envasadas,III
1122-4/01,Fabricação de refrigerantes,NA
1122-4/02,Fabricação de chá mate e outros chás prontos para consumo,NA
1122-4/03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",NA
1122-4/04,Fabricação de bebidas isotônicas,III
1122-4/99,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,P
1210-7/00,Processamento industrial do fumo,NA
1220-4/01,Fabricação de cigarros,NA
1220-4/02,Fabricação de cigarrilhas e charutos,NA
1220-4/03,Fabricação de filtros para cigarros,NA
1220-4/99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",NA
1311-1/00,Preparação e fiação de fibras de algodão,NA
1312-0/00,"Preparação e fiação de fibras têxteis naturais, exceto algodão",NA
1313-8/00,Fiação de fibras artificiais e sintéticas,NA
1314-6/00,Fabricação de linhas para costurar e bordar,NA
1321-9/00,Tecelagem de fios de algodão,NA
1322-7/00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",NA
1323-5/00,Tecelagem de fios de fibras artificiais e sintéticas,NA
1330-8/00,Fabricação de tecidos de malha,NA
1340-5/01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",NA
1340-5/02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",NA
1340-5/99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",NA
1351-1/00,Fabricação de artefatos têxteis para uso doméstico,NA
1352-9/00,Fabricação de artefatos de tapeçaria,NA
1353-7/00,Fabricação de artefatos de cordoaria,NA
1354-5/00,"Fabricação de tecidos especiais, inclusive artefatos",NA
1359-6/00,Fabricação de outros produtos têxteis não especificados anteriormente,NA
1411-8/01,Confecção de roupas íntimas,NA
1411-8/02,Facção de roupas íntimas,NA
1412-6/01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",NA
1412-6/02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",NA
1412-6/03,"Facção de peças do vestuário, exceto roupas íntimas",NA
1413-4/01,"Confecção de roupas profissionais, exceto sob medida",NA
1413-4/02,"Confecção, sob medida, de roupas profissionais",NA
1413-4/03,Facção de roupas profissionais,NA
1414-2/00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",NA
1421-5/00,Fabricação de meias,NA
1422-3/00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",NA
1510-6/00,Curtimento e outras preparações de couro,NA
1521-1/00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",NA
1529-7/00,Fabricação de artefatos de couro não especificados anteriormente,NA
1531-9/01,Fabricação de calçados de couro,NA
1531-9/02,Acabamento de calçados de couro sob contrato,NA
1532-7/00,Fabricação de tênis de qualquer material,NA
1533-5/00,Fabricação de calçados de material sintético,NA
1539-4/00,Fabricação de calçados de materiais não especificados anteriormente,NA
1540-8/00,"Fabricação de partes para calçados, de qualquer material",NA
1610-2/03,Serrarias com desdobramento de madeira em bruto,NA
1610-2/04,Serrarias sem desdobramento de madeira em bruto - resserragem,NA
1610-2/05,Serviço de tratamento de madeira realizado sob contrato,NA
1621-8/00,Fabricação de madeira laminada e de chapas de madeira compensada prensada e aglomerada,NA
1622-6/01,Fabricação de casas de madeira pré-fabricadas,NA
1622-6/02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,NA
1622-6/99,Fabricação de outros artigos de carpintaria para construção,NA
1623-4/00,Fabricação de artefatos de tanoaria e de embalagens de madeira,NA
1629-3/01,"Fabricação de artefatos diversos de madeira, exceto móveis",NA
1629-3/02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",NA
1710-9/00,Fabricação de celulose e outras pastas para a fabricação de papel,NA
1721-4/00,Fabricação de papel,NA
1722-2/00,Fabricação de cartolina e papel-cartão,NA
1731-1/00,Fabricação de embalagens de papel,P
1732-0/00,Fabricação de embalagens de cartolina e papel-cartão,P
1733-8/00,Fabricação de chapas e de embalagens de papelão ondulado,P
1741-9/01,Fabricação de formulários contínuos,NA
1741-9/02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",NA
1742-7/01,Fabricação de fraldas descartáveis,III
1742-7/02,Fabricação de absorventes higiênicos,III
1742-7/99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,NA
1749-4/00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",P
1811-3/01,Impressão de jornais,NA
1811-3/02,"Impressão de livros, revistas e outras publicações periódicas",NA
1812-1/00,Impressão de material de segurança,NA
1813-0/01,Impressão de material para uso publicitário,NA
1813-0/99,Impressão de material para outros usos,NA
1821-1/00,Serviços de pré-impressão,NA
1822-9/01,Serviços de encadernação e plastificação,NA
1822-9/99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",NA
1830-0/01,Reprodução de som em qualquer suporte,NA
1830-0/02,Reprodução de vídeo em qualquer suporte,NA
1830-0/03,Reprodução de software em qualquer suporte,NA
1910-1/00,Coquerias,NA
1921-7/00,Fabricação de produtos do refino de petróleo,NA
1922-5/01,Formulação de combustíveis,NA
1922-5/02,Rerrefino de óleos lubrificantes,NA
1922-5/99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",NA
1931-4/00,Fabricação de álcool,P
1932-2/00,"Fabricação de biocombustíveis, exceto álcool",NA
2011-8/00,Fabricação de cloro e álcalis,P
2012-6/00,Fabricação de intermediários para fertilizantes,NA
2013-4/01,Fabricação de adubos e fertilizantes organo-minerais,NA
2013-4/02,"Fabricação de adubos e fertilizantes, exceto organo-minerais",NA
2014-2/00,Fabricação de gases industriais,P
2019-3/01,Elaboração de combustíveis nucleares,NA
2019-3/99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,P
2021-5/00,Fabricação de produtos petroquímicos básicos,NA
2022-3/00,Fabricação de intermediários para plastificantes resinas e fibras,NA
2029-1/00,Fabricação de produtos químicos orgânicos não especificados anteriormente,P
2031-2/00,Fabricação de resinas termoplásticas,NA
2032-1/00,Fabricação de resinas termofixas,NA
2033-9/00,Fabricação de elastômeros,NA
2040-1/00,Fabricação de fibras artificiais e sintéticas,NA
2051-7/00,Fabricação de defensivos agrícolas,NA
2052-5/00,Fabricação de desinfestantes domissanitários,III
2061-4/00,Fabricação de sabões e detergentes sintéticos,III
2062-2/00,Fabricação de produtos de limpeza e polimento,III
2063-1/00,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",III
2071-1/00,"Fabricação de tintas, vernizes, esmaltes e lacas",P
2072-0/00,Fabricação de tintas de impressão,NA
2073-8/00,"Fabricação de impermeabilizantes, solventes e produtos afins",NA
2091-6/00,Fabricação de adesivos e selantes,P
2092-4/01,"Fabricação de pólvoras, explosivos e detonantes",NA
2092-4/02,Fabricação de artigos pirotécnicos,NA
2092-4/03,Fabricação de fósforos de segurança,NA
2093-2/00,Fabricação de aditivos de uso industrial,P
2094-1/00,Fabricação de catalisadores,NA
2099-1/01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",NA
2099-1/99,Fabricação de outros produtos químicos não especificados anteriormente,P
2110-6/00,Fabricação de produtos farmoquímicos,III
2121-1/01,Fabricação de medicamentos alopáticos para uso humano,III
2121-1/02,Fabricação de medicamentos homeopáticos para uso humano,III
2121-1/03,Fabricação de medicamentos fitoterápicos para uso humano,III
2122-0/00,Fabricação de medicamentos para uso veterinário,NA
2123-8/00,Fabricação de preparações farmacêuticas,III
2211-1/00,Fabricação de pneumáticos e de câmaras-de-ar,NA
2212-9/00,Reforma de pneumáticos usados,NA
2219-6/00,Fabricação de artefatos de borracha não especificados anteriormente,P
2221-8/00,Fabricação de laminados planos e tubulares de material plástico,P
2222-6/00,Fabricação de embalagens de material plástico,P
2223-4/00,Fabricação de tubos e acessórios de material plástico para uso na construção,NA
2229-3/01,Fabricação de artefatos de material plástico para uso pessoal e doméstico,P
2229-3/02,Fabricação de artefatos de material plástico para usos industriais,NA
2229-3/03,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",NA
2229-3/99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,P
2311-7/00,Fabricação de vidro plano e de segurança,NA
2312-5/00,Fabricação de embalagens de vidro,P
2319-2/00,Fabricação de artigos de vidro,NA
2320-6/00,Fabricação de cimento,NA
2330-3/01,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",NA
2330-3/02,Fabricação de artefatos de cimento para uso na construção,NA
2330-3/03,Fabricação de artefatos de fibrocimento para uso na construção,NA
2330-3/04,Fabricação de casas pré-moldadas de concreto,NA
2330-3/05,Preparação de massa de concreto e argamassa para construção,NA
2330-3/99,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",NA
2341-9/00,Fabricação de produtos cerâmicos refratários,NA
2342-7/01,Fabricação de azulejos e pisos,NA
2342-7/02,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",NA
2349-4/01,Fabricação de material sanitário de cerâmica,NA
2349-4/99,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,NA
2391-5/01,"Britamento de pedras, exceto associado à extração",NA
2391-5/02,"Aparelhamento de pedras para construção, exceto associado à extração",NA
2391-5/03,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",NA
2392-3/00,Fabricação de cal e gesso,NA
2399-1/01,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal",NA
2399-1/02,Fabricação de abrasivos,NA
2399-1/99,Fabricação de outros produtos de minerais não metálicos não especificados anteriormente,NA
2411-3/00,Produção de ferro-gusa,NA
2412-1/00,Produção de ferroligas,NA
2421-1/00,Produção de semiacabados de aço,NA
2422-9/01,"Produção de laminados planos de aço ao carbono, revestidos ou não",NA
2422-9/02,Produção de laminados planos de aços especiais,NA
2423-7/01,Produção de tubos de aço sem costura,NA
2423-7/02,"Produção de laminados longos de aço, exceto tubos",NA
2424-5/01,Produção de arames de aço,NA
2424-5/02,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",NA
2431-8/00,Produção de tubos de aço com costura,NA
2439-3/00,Produção de outros tubos de ferro e aço,NA
2441-5/01,Produção de alumínio e suas ligas em formas primárias,NA
2441-5/02,Produção de laminados de alumínio,NA
2442-3/00,Metalurgia dos metais preciosos,NA
2443-1/00,Metalurgia do cobre,NA
2449-1/01,Produção de zinco em formas primárias,NA
2449-1/02,Produção de laminados de zinco,NA
2449-1/03,Fabricação de ânodos para galvanoplastia,NA
2449-1/99,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,NA
2451-2/00,Fundição de ferro e aço,NA
2452-1/00,Fundição de metais não ferrosos e suas ligas,NA
2511-0/00,Fabricação de estruturas metálicas,NA
2512-8/00,Fabricação de esquadrias de metal,NA
2513-6/00,Fabricação de obras de caldeiraria pesada,NA
2521-7/00,Fabricação de tanques reservatórios metálicos e caldeiras para aquecimento central,NA
2522-5/00,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",NA
2531-4/01,Produção de forjados de aço,NA
2531-4/02,Produção de forjados de metais não ferrosos e suas ligas,NA
2532-2/01,Produção de artefatos estampados de metal,NA
2532-2/02,Metalurgia do pó,NA
2539-0/01,"Serviços de usinagem, torneiria e solda",NA
2539-0/02,Serviços de tratamento e revestimento em metais,NA
2541-1/00,Fabricação de artigos de cutelaria,NA
2542-0/00,"Fabricação de artigos de serralheria, exceto esquadrias",NA
2543-8/00,Fabricação de ferramentas,NA
2550-1/01,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",NA
2550-1/02,"Fabricação de armas de fogo, outras armas e munições",NA
2591-8/00,Fabricação de embalagens metálicas,P
2592-6/01,Fabricação de produtos de trefilados de metal padronizados,NA
2592-6/02,"Fabricação de produtos de trefilados de metal, exceto padronizados",NA
2593-4/00,Fabricação de artigos de metal para uso doméstico e pessoal,NA
2599-3/01,Serviços de confecção de armações metálicas para a construção,NA
2599-3/02,Serviço de corte e dobra de metais,NA
2599-3/99,Fabricação de outros produtos de metal não especificados anteriormente,NA
2610-8/00,Fabricação de componentes eletrônicos,NA
2621-3/00,Fabricação de equipamentos de informática,NA
2622-1/00,Fabricação de periféricos para equipamentos de informática,NA
2631-1/00,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios",NA
2632-9/00,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",NA
2640-0/00,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",NA
2651-5/00,"Fabricação de aparelhos e equipamentos de medida, teste e controle",NA
2652-3/00,Fabricação de cronômetros e relógios,NA
2660-4/00,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,P
2670-1/01,"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios",P
2670-1/02,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",NA
2680-9/00,"Fabricação de mídias virgens, magnéticas e ópticas",NA
2710-4/01,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios",NA
2710-4/02,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",NA
2710-4/03,"Fabricação de motores elétricos, peças e acessórios",NA
2721-0/00,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",NA
2722-8/01,Fabricação de baterias e acumuladores para veículos automotores,NA
2722-8/02,Recondicionamento de baterias e acumuladores para veículos automotores,NA
2731-7/00,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,NA
2732-5/00,Fabricação de material elétrico para instalações em circuito de consumo,NA
2733-3/00,Fabricação de fios cabos e condutores elétricos isolados,NA
2740-6/01,Fabricação de lâmpadas,NA
2740-6/02,Fabricação de luminárias e outros equipamentos de iluminação,NA
2751-1/00,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",NA
2759-7/01,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",NA
2759-7/99,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",NA
2790-2/01,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores",NA
2790-2/02,Fabricação de equipamentos para sinalização e alarme,NA
2790-2/99,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,NA
2811-9/00,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",NA
2812-7/00,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",NA
2813-5/00,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",NA
2814-3/01,"Fabricação de compressores para uso industrial, peças e acessórios",NA
2814-3/02,"Fabricação de compressores para uso não industrial, peças e acessórios",NA
2815-1/01,Fabricação de rolamentos para fins industriais,NA
2815-1/02,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos",NA
2821-6/01,"Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para instalações térmicas, peças e acessórios",NA
2821-6/02,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",NA
2822-4/01,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",NA
2822-4/02,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios",NA
